MainMenu_DifficultySelection_1:: "请等房主选择COTF困难"
PerkDatabase_150:: "魔法箭使命中的敌人在减速期间受到{0}额外伤害。"
PerkDatabase_151:: "禁用程序"
PerkDatabase_152:: "魔法箭的负面影响持续额外{0}秒"
PerkDatabase_153:: "魔法绑定"
PerkDatabase_154:: "魔法箭的减速效果增加了一倍。它从{0}升级到{1}"
PerkDatabase_155:: "带电攻击"
PerkDatabase_156:: "带电近战攻击造成额外{0}"
PerkDatabase_157:: "超级充电攻击"
PerkDatabase_158:: "带电近战攻击造成{0}额外伤害"
PerkDatabase_159:: "幸运点击"
PerkDatabase_160:: "增加暴击伤害{0}"
PerkDatabase_161:: "势不可挡"
PerkDatabase_162:: "增加暴击几率{0}。"
PerkDatabase_163:: "耐久性"
PerkDatabase_164:: "增加最大能量{0}"
PerkDatabase_165:: "多样化的力量"
PerkDatabase_166:: "增加多发射击的投射物数量{0}，也会增加法术成本。多发射击不适用于矛。"
PerkDatabase_167:: "\n现多发射击成本： {0}\n升级后成本： {1}"
PerkDatabase_168:: "海路两栖"
PerkDatabase_169:: "允许您在陆地上使用木筏，将其变成木制气垫船。"
PerkDatabase_170:: "涡轮增压"
PerkDatabase_171:: "气垫船但更快！\n提高木筏速度：{0}。"
PerkDatabase_172:: "闭合伤口"
PerkDatabase_173:: "净化现在可以恢复一部分缺少的生命值和能量。生命值越少，恢复效果越大。"
PerkDatabase_174:: "减少{0}魔法冷却时间"
PerkDatabase_175:: "无限"
PerkDatabase_176:: "每次你施放一个魔法，所有冷却时间都会减少{0}"
PerkDatabase_177:: "世界末日"
PerkDatabase_178:: "魔法伤害增加{0}"
PerkDatabase_179:: "火种"
PerkDatabase_180:: "命中敌人后，在{0}秒内留下一个debuff，对该敌人施加等同于你魔法强度的火焰伤害"
PerkDatabase_181:: "濒死体验"
PerkDatabase_182:: "在受到致命伤害时，不会死亡，而是恢复你的生命值到{0}，并获得{1}秒的秒的debuff免疫。冷却时间：{2}分钟"
PerkDatabase_183:: "寻踪箭 - 猎头"
PerkDatabase_184:: "取消寻踪箭的爆头惩罚"
PerkDatabase_185:: "狙击手"
PerkDatabase_186:: "投射物每移动一米，造成额外伤害增加：{0}"
PerkDatabase_187:: "寻踪箭 - 至残"
PerkDatabase_188:: "寻踪箭的减速时间额外增加：{0} 秒"
PerkDatabase_189:: "寻踪箭 - 寒冰"
PerkDatabase_190:: "寻踪箭的减速效果从{0} 增加至 {1}"
PerkDatabase_191:: "专注 - 狙击高手"
PerkDatabase_192:: "专注技能的爆头额外伤害从{0} 增加至 {1}"
PerkDatabase_193:: "专注 - 描边大师"
PerkDatabase_194:: "专注技能对身体的额外伤害从 {0} 增加至 {1}"
PerkDatabase_195:: "专注 - 应激反应"
PerkDatabase_196:: "专注技能的攻击加速效果从 {0} 增加至 {1}"
PerkDatabase_197:: "专注 - 头昏眼花"
PerkDatabase_198:: "专注技能的减速效果增加 {0} "
PerkDatabase_199:: "助燃物质"
PerkDatabase_200:: "黑色火焰有{0}的几率对敌人施加虚弱效果，使他们在{2}秒内受到{1}的伤害。"
PerkDatabase_201:: "阴阳互补"
PerkDatabase_202:: "黑色火焰有双倍伤害"
PerkDatabase_203:: "怒意 - 急迫"
PerkDatabase_204:: "每层怒意可以增加{0}的攻击速度。"
PerkDatabase_205:: "震荡Bash"
PerkDatabase_206:: "Bash的主动和被动效果持续时间增加{0}秒。\n如果Bash造成流血，流血会造成更多的额外伤害"
PerkDatabase_207:: "护盾 - 定格"
PerkDatabase_208:: "护盾在额外的{0}秒内不会衰减。"
PerkDatabase_209:: "瞬移 - 穿透"
PerkDatabase_210:: "瞬移现在能对路径上的敌人造成伤害。"
PerkDatabase_211:: "内在能量 II"
PerkDatabase_212:: "每一点智力都会增加{0}体力和能量的恢复效果。"
PerkDatabase_213:: "火焰护卫"
PerkDatabase_214:: "攻击时点燃敌人"
PerkDatabase_215:: "招架范围"
PerkDatabase_216:: "增加招架的半径{0}m"
PerkDatabase_217:: "幸运附魔"
PerkDatabase_218:: "增加{0}的魔法寻物。魔法寻物增加掉落物品的数量。"
PerkDatabase_219:: "幸运附魔 II"
PerkDatabase_220:: "额外增加{0}的魔法寻物。魔法寻物增加掉落物品的稀有度和数量。"
PerkDatabase_221:: "濒死之箭"
PerkDatabase_222:: "血箭额外消耗{0}的生命值来增加伤害。"
PerkDatabase_223:: "奥血术"
PerkDatabase_224:: "每点生命值增加血箭{0}的伤害。"
PerkDatabase_225:: "能量场"
PerkDatabase_226:: "圣域现在可以恢复能量"
PerkDatabase_227:: "增强活力"
PerkDatabase_228:: "增加{0}最大生命值。"
PerkDatabase_229:: "强化能量"
PerkDatabase_230:: "增加{0}最大能量。"
PerkDatabase_231:: "重整旗鼓"
PerkDatabase_232:: "打开库存中的工艺菜单。允许你通过放置相同稀有度的{0}物品作为原料来重塑物品的属性。"
PerkDatabase_233:: "改造"
PerkDatabase_234:: "在制作菜单中增加了一个标签。允许你通过放置相同或更高稀有度的{0}物品作为原料，将一件物品重新锻造成同等级的任何其他物品。"
PerkDatabase_235:: "光明之路"
PerkDatabase_236:: "手电筒亮度提高{0}，电池更持久"
PerkDatabase_237:: "玻璃大炮"
PerkDatabase_238:: "自身受到的伤害增加，但同时也增加 {0} 对敌伤害"
PerkDatabase_239:: "\n造成的伤害： "
PerkDatabase_241:: "尺寸迷思"
PerkDatabase_242:: "弹丸的大小会增加弹丸的伤害。"
PerkDatabase_243:: "每增加{0}的投射物的大小，就会增加{1}的远程伤害。"
PerkDatabase_244:: "动能转移"
PerkDatabase_245:: "落地后获得一个短暂的移动加速。"
PerkDatabase_246:: "长臂"
PerkDatabase_247:: "增加{0}近战武器范围。"
PerkDatabase_248:: "流血"
PerkDatabase_249:: "攻击敌人有{0}的几率使其流血"
PerkDatabase_250:: "追加"
PerkDatabase_251:: "击中敌人有{0}几率使其受到更多伤害"
PerkDatabase_252:: "金牌得主"
PerkDatabase_253:: "大幅提高掷矛技能。长矛增加{0}暴击率。这些暴击率会造成爆头伤害，即使没有击中敌人头部也可以触发。"
PerkDatabase_254:: "长矛赌局"
PerkDatabase_255:: "提高{0}长矛暴击率。"
PerkDatabase_256:: "无尽长矛"
PerkDatabase_257:: "当长矛击中目标时，有{0}的几率召唤出另一支长矛攻击敌人。"
PerkDatabase_258:: "矛头!"
PerkDatabase_259:: "无尽长矛的几率增加{0}"
PerkDatabase_260:: "矛的精通"
PerkDatabase_261:: "投掷长矛的伤害翻倍"
PerkDatabase_262:: "死神之眼"
PerkDatabase_263:: "增加手枪子弹的爆头几率{0}，总计{1}。子弹爆头在击中敌人时随机触发"
PerkDatabase_264:: "穿刺"
PerkDatabase_265:: "长矛的护甲削弱增加到{0}，此外，长矛也会减少敌人的近战护甲。"
PerkDatabase_266:: "兔子跳"
PerkDatabase_267:: "增加动能转移的速度和持续时间"
PerkDatabase_268:: "加速诅咒"
PerkDatabase_269:: "增加{0}攻击速度，但减少{1}近战伤害和{2}远程伤害"
PerkDatabase_270:: "力量诅咒"
PerkDatabase_271:: "降低{0}攻击速度，但近战伤害加倍"
PerkDatabase_272:: "约束诅咒"
PerkDatabase_273:: "你将无法使用远程武器伤害敌人，所有敌人受到{0}伤害，但同时你造成的近战伤害增加{1}"
PerkDatabase_274:: "格斗之术"
PerkDatabase_275:: "增加{0}近战武器伤害、射程和攻击速度"
PerkDatabase_276:: "你将无法使用近战武器伤害敌人，所有敌人受到{0}伤害，但同时你造成双倍远程伤害"
PerkDatabase_277:: "致残诅咒"
PerkDatabase_278:: "你变得更致命，但不那么精确。\n你的远程伤害增加{0}，但你失去{1}移动速度和{2}跳跃能力。"
PerkDatabase_279:: "增加{0}攻击伤害、投射物大小、投射物速度和暴击伤害，但减少{1}攻击速度，增加{2}法术消耗"
PerkDatabase_282:: "速度诅咒"
PerkDatabase_283:: "冷却时间缩短{0}，但攻击速度降低{1}。"
PerkDatabase_284:: "力量诅咒"
PerkDatabase_285:: "魔法伤害增加{0}，但基础远程伤害和基础近战伤害减半"
PerkDatabase_286:: "绝对武力"
PerkDatabase_287:: "当招架时，下一次攻击获得额外的攻击力。额外的近战伤害等同于招架的伤害。该效果可以叠加，持续{0}秒，并在进行近战攻击时消耗。"
PerkDatabase_288:: "骷髅堡垒"
PerkDatabase_289:: "被击中的敌人会受到额外{0}的伤害。伤害持续的时间与Bash减速时间一致。"
PerkDatabase_290:: "骷髅堡垒 II"
PerkDatabase_291:: "被击中的敌人受到{0}更多的额外伤害。"
PerkDatabase_292:: "火神之舞"
PerkDatabase_293:: "当黑色火焰开启时，你的近战伤害会根据你的速度增加。然而，法术消耗随着速度的增加而增加。激活黑色火焰将禁用狂暴无限耐力的效果，当黑色火焰关闭时，狂暴将恢复正常"
PerkDatabase_294:: "战斗回复"
PerkDatabase_295:: "命中时获得{0}点体力值"
PerkDatabase_296:: "躁狂症"
PerkDatabase_297:: "怒意增加移动速度，每层增加{0}"
PerkDatabase_298:: "怒意狂击"
PerkDatabase_299:: "当你在怒意过程中反复击中同一个敌人时，造成的伤害则会越来越多。近战叠加的速度是{0}倍。"
PerkDatabase_300:: "幸运一击"
PerkDatabase_301:: "当你重击敌人时，获得{0}暴击伤害，持续{1}秒。"
PerkDatabase_302:: "\n总计：\n重击后暴击伤害 - {0}"
PerkDatabase_303:: "更多携带的原木"
PerkDatabase_304:: "增加玩家肩上可携带的基本木头数量。额外携带的原木是不可见的。"
PerkDatabase_305:: "劫掠"
PerkDatabase_306:: "增加 {0} 魔法寻物"
PerkDatabase_307:: "动量效应"
PerkDatabase_308:: "弹丸速度增加弹丸的暴击伤害。"
PerkDatabase_309:: "魔法箭 - 毁灭"
PerkDatabase_310:: "魔法箭可以暴击。"
PerkDatabase_311:: "电磁脉冲"
PerkDatabase_312:: "闪电球可以暴击。"
PerkDatabase_313:: "瞬移 - 虫洞"
PerkDatabase_314:: "瞬移的最大距离增加{0}英尺"
PerkDatabase_315:: "热烈拥抱"
PerkDatabase_316:: "火焰伤害增加 {0}"
PerkDatabase_317:: "总计： {0}"
PerkDatabase_318:: "诅咒之箭"
PerkDatabase_319:: "血箭造成三倍伤害，但所有恢复力减半，并且在施法后短时间内失去能量"
PerkDatabase_320:: "震荡射击"
PerkDatabase_321:: "被血箭击中的敌人会眩晕{0}秒。"
PerkDatabase_322:: "生存之道"
PerkDatabase_323:: "命中敌人时获得{0}能量和{1}生命。"
PerkDatabase_324:: "川流不息"
PerkDatabase_325:: "减少{0}秒魔法箭的冷却时间"
PerkDatabase_326:: "招架精通"
PerkDatabase_327:: "增加招架半径{0}码，允许你招架任何类型的敌人。"
PerkDatabase_328:: "荆棘皮夫"
PerkDatabase_329:: "每一点力量增加{0}的荆棘。\n荆棘的规模与近战伤害乘数统计有关"
PerkDatabase_330:: "铁娘子"
PerkDatabase_331:: "增加{0}的护甲，增加{1}的荆棘伤害"
PerkDatabase_332:: "抗魔训练"
PerkDatabase_333:: "减少{0}所受的魔法伤害。"
PerkDatabase_334:: "致密物质"
PerkDatabase_335:: "敌人的黑洞无法将你吸进去"
PerkDatabase_336:: "热血沸腾"
PerkDatabase_337:: "暴雪减速效果大大降低"
PerkDatabase_338:: "真实目标"
PerkDatabase_339:: "射中{0}英尺外敌人且不受寻踪箭影响的箭头，将会射中敌人两次，并造成{1}追加伤害"
PerkDatabase_340:: "钉子"
PerkDatabase_341:: "增加{0}的荆棘伤害"
PerkDatabase_342:: "风暴季节"
PerkDatabase_343:: "闪电球的冷却时间减少{0}秒"
PerkDatabase_344:: "无尽风暴"
PerkDatabase_345:: "闪电球的冷却时间减少{0}秒"
PerkDatabase_346:: "快银"
PerkDatabase_347:: "瞬移的冷却时间减少{0}秒"
PerkDatabase_348:: "太阳之怒"
PerkDatabase_349:: "太阳耀斑的冷却时间减少{0}。"
PerkDatabase_350:: "完整计数"
PerkDatabase_351:: "增加招架的伤害加成"
PerkDatabase_352:: "金色的决心"
PerkDatabase_353:: "金饰品减少{0}受到的伤害"
PerkDatabase_354:: "狂妄无边"
PerkDatabase_355:: "狂暴的冷却降低{0}"
PerkDatabase_356:: "安全天堂"
PerkDatabase_357:: "圣域持续时间增加一分钟"
PerkDatabase_358:: "危急时刻"
PerkDatabase_359:: "圣域和净化的冷却时间减少{0}"
PerkDatabase_360:: "呼吸技巧"
PerkDatabase_361:: "当黑色火焰开启时，你的攻击速度固定为{0}"
PerkDatabase_362:: "研磨"
PerkDatabase_363:: "在制作菜单中增加了一个标签。允许你改变单一属性的值，使之更高或更低。允许清空插槽。需要一个相同稀有度或更高的物品。"
PerkDatabase_364:: "重铸"
PerkDatabase_365:: "在制作菜单中增加了一个标签。允许你将物品的等级改为玩家当前的等级，而不需要重新计算数值。需要九个相同或更高稀有度的物品。"
PerkDatabase_366:: "幸运附魔 III"
PerkDatabase_367:: "增加额外{0}的魔法寻物。魔法寻物增加掉落物品的数量和稀有性。"
PerkDatabase_368:: "重金属"
PerkDatabase_369:: "增加{0}的护甲，减少受到的{1}的伤害。"
PerkDatabase_370:: "自铸盾牌"
PerkDatabase_371:: "当你的能量和体力高于{0}，并且你装备了能量护盾魔法技能时，法术会自动施展。"
PerkDatabase_372:: "寻踪箭 - 改善记忆"
PerkDatabase_373:: "寻踪箭在消失前多停留{0}秒"
PerkDatabase_374:: "世纪风暴"
PerkDatabase_375:: "闪电球的伤害增加{0}"
PerkDatabase_376:: "工艺飞机斧"
PerkDatabase_377:: "允许您制作飞机斧头。\n合成材料是：{0}手工斧头，{1}绳子，{2}棍子"
PerkDatabase_378:: "鹰眼"
PerkDatabase_379:: "爆头伤害大大增加"
PerkDatabase_380:: "爆炸破坏力上升"
PerkDatabase_381:: "增加爆炸和落踢的攻击伤害{0}。这也会影响其他玩家的爆炸。"
PerkDatabase_382:: "\n总计： {0}"
PerkDatabase_383:: "远程精通"
PerkDatabase_384:: "射程伤害增加{0}，爆头伤害增加{1}，暴击伤害增加{2}。"
PerkDatabase_385:: "收割机"
PerkDatabase_386:: "灌木掉落的木棍是原来的两倍"
PerkDatabase_387:: "Block"
PerkDatabase_388:: "增加{0}的伤害拦截。伤害拦截可以抵消所受的部分伤害，并在护甲和伤害减免后生效。"
PerkDatabase_389:: "荆棘皮夫 II"
PerkDatabase_390:: "获得相当于{0}生命力的荆棘伤害"
PerkDatabase_391:: "腐蚀性皮肤"
PerkDatabase_392:: "击中敌人会降低其相当于自身通用护甲穿透 {0} 的敌人护甲"
PerkDatabase_393:: "火术"
PerkDatabase_394:: "火焰对敌人的伤害增加{0}。此属性可与其他玩家相互叠加"
PerkDatabase_395:: "热浪"
PerkDatabase_396:: "火焰对敌人的伤害增加{0}。此属性可与其他玩家相互叠加"
PerkDatabase_397:: "火焰寿命"
PerkDatabase_398:: "敌人被点燃的时间延长{0}。此属性可与其他玩家相互叠加"
PerkDatabase_399:: "持续火焰"
PerkDatabase_400:: "敌人被点燃的时间延长{0}。此属性可与其他玩家相互叠加"
PerkDatabase_401:: "洞察 II"
PerkDatabase_402:: "所有获得的经验增加{0}"
PerkDatabase_403:: "真正大灾难"
PerkDatabase_404:: "之前的大灾难是常见的末世那种，虚假且令人失望的。\n基础法术伤害增加{0}。"
PerkDatabase_405:: "巨型黑洞"
PerkDatabase_406:: "将黑洞的大小增加{0}码。这是原来的两倍尺寸"
PerkDatabase_407:: "扩张"
PerkDatabase_408:: "将黑洞的大小增加{0}码"
PerkDatabase_409:: "增加黑洞{0}的拉力"
PerkDatabase_410:: "增加{0}活力"
PerkDatabase_411:: "荆棘诅咒"
PerkDatabase_412:: "荆棘的伤害变为原来的三倍。荆棘的穿甲能力提高三倍。受到的所有伤害略有减少。但额外的近战伤害和远程伤害减少{0}。"
PerkDatabase_413:: "恢复"
PerkDatabase_414:: "所有治疗和耐力/能量恢复增加{0}"
PerkDatabase_415:: "衰退"
PerkDatabase_416:: "嘲讽不再使敌人攻击加快。相反，会使敌人减速{0}"
PerkDatabase_417:: "强制集合"
PerkDatabase_418:: "嘲讽将敌人拉向中心"
PerkDatabase_419:: "冲锋陷阵"
PerkDatabase_420:: "带电的近战攻击将敌人击退"
PerkDatabase_421:: "瞬息万变"
PerkDatabase_422:: "招架使攻击速度提高{0}，持续{1}秒"
PerkDatabase_423:: "重新计算个人统计资料"
PerkDatabase_424:: "在制作菜单中增加了一个标签。允许你在物品的限制范围内将单个状态的值改为不同的状态。允许清空插槽。需要一个相同稀有度或更高的物品。"
PerkDatabase_425:: "火焰弹的升级"
PerkDatabase_426:: "火束的伤害增加，但其成本也增加了\n伤害比例增加{0}。成本增加{1}。"
PerkDatabase_428:: "伤害比例: {0}\n成本： {1}"
PerkDatabase_429:: "猛烈一击"
PerkDatabase_430:: "带电近战攻击造成的伤害增加{0}"
PerkDatabase_431:: "身体力量 II"
PerkDatabase_432:: "增加{0}力量。"
PerkDatabase_433:: "类固醇"
PerkDatabase_434:: "近战伤害增加{0}"
PerkDatabase_435:: "火束成本降低"
PerkDatabase_436:: "火束成本降低{0}（未修改成本为{1}）\n"
PerkDatabase_437:: "练习目标"
PerkDatabase_438:: "远程伤害增加 {0}"
PerkDatabase_439:: "靶心"
PerkDatabase_440:: "暴击伤害增加 {0}"
PerkDatabase_441:: "强化闪避"
PerkDatabase_442:: "闪避时治愈{0}最大生命值"
PerkDatabase_443:: "投掷另一支矛的总机率：{0}\n超过100%不会产生任何结果"
PerkDatabase_444:: "血箭能100%暴击。"
PerkDatabase_445:: "超音速"
PerkDatabase_446:: "双弹丸速度"
PerkDatabase_447:: "被动防御"
PerkDatabase_448:: "闪避时获得等同于{0}生命值的护盾"
PerkDatabase_449:: "关键灌注"
PerkDatabase_450:: "应得的东西"
PerkDatabase_451:: "在狂暴期间，最大生命值增加{0}"
PerkDatabase_452:: "冠军万神殿"
PerkDatabase_453:: "圣域内的队友对敌人造成的伤害增加{0}，受到的伤害减少{1}。"
PerkDatabase_454:: "魔力塔"
PerkDatabase_455:: "圣域内的队友冷却时间加快{0}，并且魔法消耗减少{1}。"
SpellDataBase_1:: "创造一个大的AOE黑洞，持续{0}秒，不断将敌人拉入其中，每秒造成{1}次魔法伤害。"
SpellDataBase_2:: "形成一个蒸发的芦荟球，迅速治疗里面的所有盟友。"
SpellDataBase_3:: "圣域"
SpellDataBase_4:: "瞬时短距离传送。瞬移{0}码的距离，对路径上的敌人造成{1}的魔法伤害"
SpellDataBase_5:: "瞬移"
SpellDataBase_6:: "强烈的一束光照耀在地上。圣光对盟友的治疗相当于{0}的魔法伤害，减少所有受到伤害的{1}并增加移动速度。敌人则受到相反的伤害。"
SpellDataBase_7:: "太阳耀斑"
SpellDataBase_8:: "引导这个咒语会消耗大量的能量，但会给你一个保护性的、吸收伤害的盾牌。盾牌的力量每秒钟都在增加，直到达到极限。盾牌在{0}秒后开始失去效力。"
SpellDataBase_9:: "能量护罩"
SpellDataBase_10:: "拾取你附近小范围内的所有物品，包括修改过的装备。"
SpellDataBase_11:: "范围拾取"
SpellDataBase_12:: "让你的灵魂燃烧起黑暗的火焰，点燃武器和投射物，攻击会使敌人燃烧，造成{0}魔法伤害。"
SpellDataBase_13:: "黑色火焰"
SpellDataBase_14:: "释放一个强大的喊声，赋予你和附近的盟友力量，持续{0}分钟。增加攻击和移动速度。"
SpellDataBase_15:: "战争呐喊"
SpellDataBase_16:: "创造一个神奇的入口，连接两个地方。允许玩家通过。"
SpellDataBase_17:: "传送门"
SpellDataBase_18:: "向前射出一支巨大的幽灵箭。箭矢会刺穿沿途的一切，使任何被击中的敌人减速，并造成{0}魔法伤害。"
SpellDataBase_19:: "魔法箭"
SpellDataBase_20:: "用魔法给你的远程武器附魔。每一次射击都会产生多枚弹丸。能量在发射时被消耗，消耗量取决于发射的弹丸数量。额外子弹的伤害会被削弱。"
SpellDataBase_21:: "多发附魔"
SpellDataBase_22:: "在{0}秒内，你会变成纯金，完全不受眩晕影响，攻击速度增加{1}。"
SpellDataBase_23:: "无敌金身"
SpellDataBase_24:: "清除你周围每个人的负面debuff。消除毒素。"
SpellDataBase_25:: "净化"
SpellDataBase_26:: "对你周围的敌人造成{0}的魔法伤害，并冻结{1}秒"
SpellDataBase_27:: "冰封结界"
SpellDataBase_28:: "进入狂暴状态。在短时间内，提高伤害，提高攻击速度和移动速度，并拥有无限的体力，但代价是受到的伤害增加。"
SpellDataBase_29:: "狂暴"
SpellDataBase_30:: "发射一个不稳定、能反弹、且具有爆炸性的闪电球，对它所接触到的或被卷入其半径的敌人造成{0}魔法伤害。击中敌人会提前引爆。"
SpellDataBase_31:: "闪电球"
SpellDataBase_32:: "被动：每次攻击都会使敌人减速{0}秒，并使其受到的伤害增加{1}。\n主动：近战伤害在{2}秒内增加{3}。"
SpellDataBase_33:: "被动：敌人的每次攻击都会激怒你，使所有伤害增加{0}。 最多可以叠{1}层。\n主动：消耗你所有的怒意层数，每{3}秒消耗一层怒意层数，恢复{2}的最大能量。"
SpellDataBase_34:: "怒意"
SpellDataBase_35:: "释放这个魔法会给你的下一次远程攻击一个标记，使你所有的远程攻击都飞向被标记子弹击中的第一个敌人。在激活期间，伤害减少{0}，投射物造成的爆头伤害减少{1}，远程攻击使敌人减速{2}，持续{3}秒。"
SpellDataBase_36:: "寻踪箭"
SpellDataBase_37:: "被动：当子弹击中头部时，下一个弹丸将造成{0}的额外伤害并使敌人减速{1}。当击中身体时，下一个弹丸将只造成{2}的额外伤害，但攻击速度会增加。\n主动：获得{3}暴击几率，持续{4}秒"
SpellDataBase_38:: "专注"
SpellDataBase_39:: "被动：在你即将被击中时阻挡一次攻击，对你周围的敌人造成{0}的魔法伤害。招架会给你带来能量、生命和眩晕免疫，持续{1}秒。\n激活：获得{2}闪避几率，持续{3}秒"
SpellDataBase_40:: "招架"
SpellDataBase_41:: "形成一个巨大的火龙卷风，烧伤敌人，造成{0}的魔法伤害。受影响的敌人会被减速"
SpellDataBase_42:: "大灾变"
SpellDataBase_43:: "消耗你的生命值，将失去的生命值作为伤害添加到下一次射击的弹丸/箭中。"
SpellDataBase_44:: "血箭"
SpellDataBase_45:: "释放一阵强大的毒气，使敌人中毒并被击退，或者在半空中施放，进行二次跳跃，伤害和作用范围会降低，但{0}的冷却时间会被退回。"
SpellDataBase_46:: "咆哮面具"
SpellDataBase_47:: "使敌人具有超强的攻击性，并迫使他们对自己进行攻击。被嘲讽的敌人移动速度加倍，攻击速度加倍，受到的伤害增加{0}。"
SpellDataBase_48:: "嘲讽"
SpellDataBase_49:: "开启技能后会收起你的武器，转而允许你发射火球，造成{0}魔法伤害。每次攻击都会消耗体力。一旦你装备或切换了另一件武器，技能就会结束并进入冷却。"
SpellDataBase_50:: "火束"
SpellDataBase_51:: "开启技能后会收起你的武器，长按[鼠标左键]将会在你的周围召唤暴风雪，并逐渐变强。在{0}秒后，魔法达到最大威力--伤害和半径都达到顶峰。\n每秒攻击两次，冰霜具有一定穿甲效果"
SpellDataBase_52:: "暴风雪"
ItemDataBase_StatDefinitions_1:: "生命值"
ItemDataBase_StatDefinitions_2:: "能量"
ItemDataBase_StatDefinitions_3:: "生命值/秒"
ItemDataBase_StatDefinitions_4:: "耐力/秒"
ItemDataBase_StatDefinitions_5:: "能量恢复"
ItemDataBase_StatDefinitions_6:: "生命恢复"
ItemDataBase_StatDefinitions_7:: "暴击几率"
ItemDataBase_StatDefinitions_8:: "命中率"
ItemDataBase_StatDefinitions_9:: "闪避率"
ItemDataBase_StatDefinitions_10:: "魔法抗性"
ItemDataBase_StatDefinitions_11:: "经验"
ItemDataBase_StatDefinitions_12:: "魔法伤害"
ItemDataBase_StatDefinitions_13:: "近战伤害"
ItemDataBase_StatDefinitions_14:: "远程伤害"
ItemDataBase_StatDefinitions_15:: "基础魔法伤害"
ItemDataBase_StatDefinitions_16:: "基础近战伤害"
ItemDataBase_StatDefinitions_17:: "基础远程伤害"
ItemDataBase_StatDefinitions_18:: "能量/敏捷"
ItemDataBase_StatDefinitions_19:: "生命/活力"
ItemDataBase_StatDefinitions_20:: "魔法伤害/智力"
ItemDataBase_StatDefinitions_21:: "近战伤害/力量"
ItemDataBase_StatDefinitions_22:: "恢复"
ItemDataBase_StatDefinitions_23:: "永久性技能属性点"
ItemDataBase_StatDefinitions_24:: " / "
ItemDataBase_StatDefinitions_25:: "经验"
ItemDataBase_StatDefinitions_26:: "武器长度"
ItemDataBase_StatDefinitions_27:: "降低魔法成本"
ItemDataBase_StatDefinitions_28:: "法术消耗为耐力"
ItemDataBase_StatDefinitions_29:: "能量/秒"
ItemDataBase_StatDefinitions_30:: "远程伤害/敏捷"
ItemDataBase_StatDefinitions_31:: "近战穿甲"
ItemDataBase_StatDefinitions_32:: "远程穿甲"
ItemDataBase_StatDefinitions_33:: "通用穿甲"
ItemDataBase_StatDefinitions_34:: "返还点数"
ItemDataBase_StatDefinitions_35:: "爆头伤害"
ItemDataBase_StatDefinitions_36:: "火焰伤害"
ItemDataBase_StatDefinitions_37:: "命中后的减速几率"
ItemDataBase_StatDefinitions_38:: "命中后的流血几率"
ItemDataBase_StatDefinitions_39:: "命中后的虚弱几率"
ItemDataBase_StatDefinitions_40:: "炸药 & 炸弹伤害"
ItemDataBase_StatDefinitions_41:: "长矛伤害"
ItemDataBase_StatDefinitions_42:: "额外携带的木棍"
ItemDataBase_StatDefinitions_43:: "额外携带的岩石"
ItemDataBase_StatDefinitions_44:: "额外携带的绳索"
ItemDataBase_StatDefinitions_45:: " 苏打水： "
ItemDataBase_StatDefinitions_46:: "酒： "
ItemDataBase_StatDefinitions_47:: "额外携带饮料"
ItemDataBase_StatDefinitions_48:: "额外携带的食物"
ItemDataBase_StatDefinitions_49:: "黑洞半径"
ItemDataBase_StatDefinitions_50:: "黑洞程持续时间"
ItemDataBase_StatDefinitions_51:: "黑洞引力"
ItemDataBase_StatDefinitions_52:: "黑洞伤害"
ItemDataBase_StatDefinitions_53:: "击中后眩晕"
ItemDataBase_StatDefinitions_54:: "冰封结界持续时间"
ItemDataBase_StatDefinitions_55:: "木筏速度"
ItemDataBase_StatDefinitions_56:: "空插槽"
ItemDataBase_StatDefinitions_57:: "插槽效果： 暴击几率"
ItemDataBase_StatDefinitions_58:: "插槽效果： 敏捷性"
ItemDataBase_StatDefinitions_59:: "插槽效果： 移动速度"
ItemDataBase_StatDefinitions_60:: "插槽效果： 远程伤害"
ItemDataBase_StatDefinitions_61:: "插槽效果： 远程穿甲"
ItemDataBase_StatDefinitions_62:: "插槽效果： 攻击速度"
ItemDataBase_StatDefinitions_63:: "插槽效果： 力量"
ItemDataBase_StatDefinitions_64:: "插槽效果： 伤害减免"
ItemDataBase_StatDefinitions_65:: "插槽效果： 近战伤害"
ItemDataBase_StatDefinitions_66:: "插槽效果： 近战穿甲"
ItemDataBase_StatDefinitions_67:: "插槽效果： 冷却缩短"
ItemDataBase_StatDefinitions_68:: "插槽效果： 智力"
ItemDataBase_StatDefinitions_69:: "插槽效果： 降低魔法成本"
ItemDataBase_StatDefinitions_70:: "插槽效果： 魔法伤害"
ItemDataBase_StatDefinitions_71:: "插槽效果： 命中能量回复"
ItemDataBase_StatDefinitions_72:: "插槽效果： 经验增益"
ItemDataBase_StatDefinitions_73:: "插槽效果： 生命值 "
ItemDataBase_StatDefinitions_74:: "插槽效果： 魔法寻物"
ItemDataBase_StatDefinitions_75:: "插槽效果： 所有治疗"
ItemDataBase_StatDefinitions_76:: "插槽效果： 每秒生命回复"
ItemDataBase_StatDefinitions_77:: "插槽效果： 最大生命值"
ItemDataBase_StatDefinitions_78:: "插槽效果： 护甲 "
ItemDataBase_StatDefinitions_79:: "插槽效果： 魔法抗性"
ItemDataBase_StatDefinitions_80:: "插槽效果： 暴击伤害"
ItemDataBase_StatDefinitions_81:: "插槽效果： 荆棘"
